epoch,accuracy,loss,val_accuracy,val_loss
0,0.35842791199684143,1.3327908515930176,0.43515849113464355,1.2918215990066528
1,0.6097425818443298,1.030670166015625,0.6282420754432678,0.9773736596107483
2,0.7766399383544922,0.6179236173629761,0.7146974205970764,0.775379478931427
3,0.8469415903091431,0.42843958735466003,0.6974063515663147,0.8021504878997803
4,0.8820924162864685,0.3334410488605499,0.680115282535553,0.8669219613075256
5,0.9097702503204346,0.2685622274875641,0.6916426420211792,0.8740489482879639
6,0.9230556488037109,0.21977537870407104,0.6628242135047913,0.9614666700363159
7,0.9357874393463135,0.183601975440979,0.6887608170509338,1.0631998777389526
8,0.9543315768241882,0.15673106908798218,0.6858789920806885,1.0969431400299072
9,0.9629117250442505,0.1342005729675293,0.6685879230499268,1.1566107273101807
10,0.9659562706947327,0.11705229431390762,0.6628242135047913,1.2194362878799438
11,0.9676169157028198,0.10922913253307343,0.6685879230499268,1.2693291902542114
12,0.9703847169876099,0.09756685048341751,0.6714697480201721,1.3132612705230713
13,0.9717686176300049,0.08883632719516754,0.6628242135047913,1.3743326663970947
14,0.972045361995697,0.08824916929006577,0.6628242135047913,1.4138901233673096
15,0.973706066608429,0.0790630429983139,0.6599423885345459,1.483737587928772
16,0.9767506122589111,0.07431698590517044,0.6484149694442749,1.5064616203308105
17,0.976473867893219,0.06949098408222198,0.6484149694442749,1.5164813995361328
18,0.975089967250824,0.0719926729798317,0.6599423885345459,1.5466481447219849
19,0.975089967250824,0.07001292705535889,0.651296854019165,1.644616961479187
20,0.9781345129013062,0.06589948385953903,0.6484149694442749,1.597764253616333
21,0.977027416229248,0.060025207698345184,0.6455331444740295,1.6340136528015137
22,0.9773041605949402,0.059432800859212875,0.6484149694442749,1.6306201219558716
23,0.9789648652076721,0.057189155369997025,0.6426513195037842,1.6947009563446045
24,0.9781345129013062,0.05700897425413132,0.6368876099586487,1.7255866527557373
